Category,City,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales,Order Year,Order Month
Technology,Henderson,Maria Etezadi,GE,2013-01-06,CA-2011-167199,42420,GE 30524EE4,South,Home Office,2013-01-10,Standard Class,Kentucky,Phones,0.00,114.00,0.29,2,392.00,2013,1
Technology,Henderson,Maria Etezadi,Other,2013-01-06,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,2013-01-10,Standard Class,Kentucky,Phones,0.00,204.00,0.27,4,756.00,2013,1
Office Supplies,Henderson,Maria Etezadi,Alliance,2013-01-06,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,2013-01-10,Standard Class,Kentucky,Fasteners,0.00,0.00,0.01,4,31.00,2013,1
Office Supplies,Henderson,Maria Etezadi,Southworth,2013-01-06,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,2013-01-10,Standard Class,Kentucky,Paper,0.00,3.00,0.46,1,7.00,2013,1
Furniture,Huntsville,Vivek Sundaresam,Howard Miller,2013-01-07,CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,2013-01-12,Standard Class,Texas,Furnishings,0.60,-54.00,-0.70,3,77.00,2013,1
Office Supplies,Huntsville,Vivek Sundaresam,Acco,2013-01-07,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,2013-01-12,Standard Class,Texas,Binders,0.80,-18.00,-1.75,7,10.00,2013,1
Office Supplies,Laredo,Melanie Seite,Newell,2013-01-09,CA-2011-135405,78041,Newell 312,Central,Consumer,2013-01-13,Standard Class,Texas,Art,0.20,1.00,0.13,2,9.00,2013,1
Technology,Laredo,Melanie Seite,Memorex,2013-01-09,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,2013-01-13,Standard Class,Texas,Accessories,0.20,10.00,0.31,3,31.00,2013,1
Office Supplies,Springfield,Anthony Jacobs,Avery,2013-01-10,CA-2011-149020,22153,Avery 482,South,Corporate,2013-01-15,Standard Class,Virginia,Labels,0.00,1.00,0.47,1,3.00,2013,1
Furniture,Springfield,Anthony Jacobs,Howard Miller,2013-01-10,CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,2013-01-15,Standard Class,Virginia,Furnishings,0.00,21.00,0.41,1,52.00,2013,1
Furniture,Dover,Seth Vernon,DAX,2013-01-11,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,2013-01-14,First Class,Delaware,Furnishings,0.00,3.00,0.31,2,10.00,2013,1
Office Supplies,Bossier City,Chris Selesnick,Staple envelope,2013-01-13,CA-2011-162775,71111,Staple envelope,South,Corporate,2013-01-15,Second Class,Louisiana,Envelopes,0.00,5.00,0.47,2,11.00,2013,1
Office Supplies,Bossier City,Chris Selesnick,Other,2013-01-13,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,2013-01-15,Second Class,Louisiana,Envelopes,0.00,25.00,0.50,3,51.00,2013,1
Technology,Bossier City,Chris Selesnick,Plantronics,2013-01-13,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,2013-01-15,Second Class,Louisiana,Accessories,0.00,259.00,0.40,6,647.00,2013,1
Office Supplies,Bossier City,Chris Selesnick,3-ring staple pack,2013-01-13,CA-2011-162775,71111,3-ring staple pack,South,Corporate,2013-01-15,Second Class,Louisiana,Binders,0.00,3.00,0.48,3,6.00,2013,1
Office Supplies,Bossier City,Chris Selesnick,Fellowes,2013-01-13,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,2013-01-15,Second Class,Louisiana,Storage,0.00,34.00,0.06,6,573.00,2013,1
Furniture,Mount Pleasant,Natalie DeCherney,Global,2013-01-13,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,2013-01-16,Second Class,South Carolina,Chairs,0.00,87.00,0.16,6,546.00,2013,1
Office Supplies,San Francisco,Brian Dahlen,Tennsco,2013-01-13,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,2013-01-18,Standard Class,California,Storage,0.00,239.00,0.18,5,1326.00,2013,1
Furniture,San Francisco,Brian Dahlen,O'Sullivan,2013-01-13,CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,2013-01-18,Standard Class,California,Bookcases,0.15,4.00,0.01,3,334.00,2013,1
Office Supplies,San Francisco,Brian Dahlen,Other,2013-01-13,CA-2011-157147,94109,4009 Highlighters by Sanford,West,Consumer,2013-01-18,Standard Class,California,Art,0.00,7.00,0.33,5,20.00,2013,1
Office Supplies,Newark,Michael Moore,Xerox,2013-01-13,CA-2011-118192,43055,Xerox 1923,East,Consumer,2013-01-18,Standard Class,Ohio,Paper,0.20,13.00,0.35,7,37.00,2013,1
Office Supplies,Newark,Michael Moore,Avery,2013-01-13,CA-2011-118192,43055,Avery Metallic Poly Binders,East,Consumer,2013-01-18,Standard Class,Ohio,Binders,0.70,-3.00,-0.73,2,3.00,2013,1
Furniture,Philadelphia,Brendan Sweed,Sauder,2013-01-14,CA-2011-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,2013-01-15,First Class,Pennsylvania,Bookcases,0.50,-53.00,-0.86,4,62.00,2013,1
Technology,Roswell,Erica Hackney,Logitech,2013-01-15,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,2013-01-17,First Class,Georgia,Accessories,0.00,66.00,0.44,5,150.00,2013,1
Furniture,Philadelphia,Delfina Latchford,DAX,2013-01-16,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,2013-01-18,Second Class,Pennsylvania,Furnishings,0.20,29.00,0.23,6,127.00,2013,1
Technology,Philadelphia,Delfina Latchford,AT&T,2013-01-16,CA-2011-115791,19134,AT&T 841000 Phone,East,Consumer,2013-01-18,Second Class,Pennsylvania,Phones,0.40,-31.00,-0.25,3,124.00,2013,1
Office Supplies,Philadelphia,Delfina Latchford,GBC,2013-01-16,CA-2011-115791,19134,GBC Linen Binding Covers,East,Consumer,2013-01-18,Second Class,Pennsylvania,Binders,0.70,-14.00,-0.73,2,19.00,2013,1
Office Supplies,Philadelphia,Delfina Latchford,Other,2013-01-16,CA-2011-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,2013-01-18,Second Class,Pennsylvania,Labels,0.20,10.00,0.34,3,30.00,2013,1
Office Supplies,Springfield,David Wiener,Fellowes,2013-01-18,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,2013-01-21,Second Class,Oregon,Appliances,0.20,6.00,0.10,4,65.00,2013,1
Office Supplies,Scottsdale,Toby Swindell,GBC,2013-01-19,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,2013-01-20,First Class,Arizona,Binders,0.70,-24.00,-0.73,10,32.00,2013,1
Office Supplies,Scottsdale,Toby Swindell,TOPS,2013-01-19,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,2013-01-20,First Class,Arizona,Paper,0.20,20.00,0.35,4,56.00,2013,1
Office Supplies,Scottsdale,Toby Swindell,Tyvek,2013-01-19,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,2013-01-20,First Class,Arizona,Envelopes,0.20,37.00,0.34,5,109.00,2013,1
Furniture,Scottsdale,Toby Swindell,O'Sullivan,2013-01-19,CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,2013-01-20,First Class,Arizona,Bookcases,0.70,-321.00,-1.77,5,181.00,2013,1
Technology,Jonesboro,Hunter Lopez,Apple,2013-01-20,US-2011-147627,72401,Apple iPhone 5C,South,Consumer,2013-01-26,Standard Class,Arkansas,Phones,0.00,182.00,0.26,7,700.00,2013,1
Office Supplies,Jonesboro,Hunter Lopez,Newell,2013-01-20,US-2011-147627,72401,Newell 351,South,Consumer,2013-01-26,Standard Class,Arkansas,Art,0.00,7.00,0.29,7,23.00,2013,1
Furniture,Jonesboro,Hunter Lopez,Eldon,2013-01-20,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,2013-01-26,Standard Class,Arkansas,Furnishings,0.00,12.00,0.30,4,39.00,2013,1
Office Supplies,Jonesboro,Hunter Lopez,Newell,2013-01-20,US-2011-147627,72401,Newell 327,South,Consumer,2013-01-26,Standard Class,Arkansas,Art,0.00,2.00,0.27,3,7.00,2013,1
Office Supplies,Jonesboro,Hunter Lopez,Staple envelope,2013-01-20,US-2011-147627,72401,Staple envelope,South,Consumer,2013-01-26,Standard Class,Arkansas,Envelopes,0.00,11.00,0.47,3,23.00,2013,1
Furniture,Jonesboro,Hunter Lopez,Hon,2013-01-20,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,2013-01-26,Standard Class,Arkansas,Chairs,0.00,224.00,0.21,3,1068.00,2013,1
Office Supplies,Los Angeles,Mark Van Huff,Wirebound,2013-01-20,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,2013-01-25,Standard Class,California,Paper,0.00,9.00,0.48,2,19.00,2013,1
Furniture,Los Angeles,Mark Van Huff,Eldon,2013-01-20,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,2013-01-25,Standard Class,California,Furnishings,0.00,6.00,0.30,2,19.00,2013,1
Office Supplies,Westland,Xylona Preis,Eldon,2013-01-20,CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,2013-01-26,Standard Class,Michigan,Storage,0.00,4.00,0.29,1,14.00,2013,1
Furniture,Westland,Xylona Preis,Eldon,2013-01-20,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,2013-01-26,Standard Class,Michigan,Furnishings,0.00,30.00,0.11,3,273.00,2013,1
Office Supplies,Westland,Xylona Preis,Acco,2013-01-20,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,2013-01-26,Standard Class,Michigan,Binders,0.00,9.00,0.47,5,19.00,2013,1
Office Supplies,Westland,Xylona Preis,Holmes,2013-01-20,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,2013-01-26,Standard Class,Michigan,Appliances,0.10,94.00,0.38,4,248.00,2013,1
Office Supplies,Westland,Xylona Preis,Fellowes,2013-01-20,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,2013-01-26,Standard Class,Michigan,Storage,0.00,16.00,0.24,2,67.00,2013,1
Office Supplies,Westland,Xylona Preis,Panasonic,2013-01-20,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,2013-01-26,Standard Class,Michigan,Art,0.00,13.00,0.29,3,44.00,2013,1
Furniture,Westland,Xylona Preis,Ultra,2013-01-20,CA-2011-167927,48185,Ultra Door Push Plate,Central,Consumer,2013-01-26,Standard Class,Michigan,Furnishings,0.00,5.00,0.33,3,15.00,2013,1
Office Supplies,Westland,Xylona Preis,Storex,2013-01-20,CA-2011-167927,48185,Storex Dura Pro Binders,Central,Consumer,2013-01-26,Standard Class,Michigan,Binders,0.00,13.00,0.45,5,30.00,2013,1
Office Supplies,Smyrna,Muhammed MacIntyre,GBC,2013-01-20,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,2013-01-26,Standard Class,Tennessee,Binders,0.70,-52.00,-0.77,1,67.00,2013,1
Furniture,Miami,Tom Boeckenhauer,Ultra,2013-01-21,CA-2011-110422,33180,Ultra Door Pull Handle,South,Consumer,2013-01-23,Second Class,Florida,Furnishings,0.20,4.00,0.16,3,25.00,2013,1
Office Supplies,Las Vegas,Ionia McGrath,Xerox,2013-01-23,CA-2011-102645,89115,Xerox 195,West,Consumer,2013-01-28,Standard Class,Nevada,Paper,0.00,19.00,0.48,6,40.00,2013,1
Office Supplies,Lafayette,Speros Goranitis,Alliance,2013-01-23,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,2013-01-27,Standard Class,Indiana,Fasteners,0.00,0.00,0.00,3,6.00,2013,1
Furniture,Alexandria,Shirley Daniels,GE,2013-01-26,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,2013-01-31,Standard Class,Virginia,Furnishings,0.00,31.00,0.49,3,63.00,2013,1
Office Supplies,Alexandria,Shirley Daniels,SAFCO,2013-01-26,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,2013-01-31,Standard Class,Virginia,Storage,0.00,0.00,0.00,8,490.00,2013,1
Office Supplies,Alexandria,Shirley Daniels,Eureka,2013-01-26,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,2013-01-31,Standard Class,Virginia,Paper,0.00,9.00,0.48,3,19.00,2013,1
Office Supplies,Alexandria,Shirley Daniels,REDIFORM,2013-01-26,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,2013-01-31,Standard Class,Virginia,Paper,0.00,8.00,0.50,2,17.00,2013,1
Technology,Alexandria,Shirley Daniels,Other,2013-01-26,US-2011-155502,22304,Macally Suction Cup Mount,South,Home Office,2013-01-31,Standard Class,Virginia,Phones,0.00,0.00,0.00,13,155.00,2013,1
Furniture,Alexandria,Shirley Daniels,Eldon,2013-01-26,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,2013-01-31,Standard Class,Virginia,Furnishings,0.00,4.00,0.36,3,12.00,2013,1
Technology,Alexandria,Shirley Daniels,Jabra,2013-01-26,US-2011-155502,22304,Jabra SPEAK 410,South,Home Office,2013-01-31,Standard Class,Virginia,Phones,0.00,53.00,0.28,2,188.00,2013,1
Office Supplies,Rapid City,Carol Adams,Wilson Jones,2013-01-26,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,2013-01-29,First Class,South Dakota,Binders,0.00,5.00,0.47,2,11.00,2013,1
Furniture,Rapid City,Carol Adams,SAFCO,2013-01-26,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,2013-01-29,First Class,South Dakota,Bookcases,0.00,40.00,0.28,2,142.00,2013,1
Office Supplies,San Diego,Ed Jacobs,Other,2013-01-27,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,2013-02-02,Standard Class,California,Storage,0.00,14.00,0.25,1,57.00,2013,1
Furniture,San Diego,Ed Jacobs,Balt,2013-01-27,US-2011-117163,92037,Balt Split Level Computer Training Table,West,Consumer,2013-02-02,Standard Class,California,Tables,0.20,-17.00,-0.05,3,333.00,2013,1
Office Supplies,San Diego,Ed Jacobs,Dixon,2013-01-27,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,2013-02-02,Standard Class,California,Art,0.00,12.00,0.33,4,36.00,2013,1
Office Supplies,New York City,Jasper Cacioppo,Pressboard,2013-01-28,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,2013-02-03,Standard Class,New York,Binders,0.20,1.00,0.34,1,4.00,2013,1
Office Supplies,Detroit,Mike Vittorini,Xerox,2013-01-30,CA-2011-134103,48234,Xerox 1972,Central,Consumer,2013-02-04,Standard Class,Michigan,Paper,0.00,5.00,0.45,2,11.00,2013,1
Office Supplies,Detroit,Mike Vittorini,Space Solutions,2013-01-30,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,2013-02-04,Standard Class,Michigan,Storage,0.00,7.00,0.03,2,230.00,2013,1
Furniture,Mission Viejo,Liz Carlisle,Sauder,2013-01-31,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,2013-02-02,First Class,California,Bookcases,0.15,3.00,0.01,2,291.00,2013,1
Technology,Green Bay,Bradley Drucker,Enermax,2013-02-01,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,2013-02-03,First Class,Wisconsin,Accessories,0.00,206.00,0.44,6,469.00,2013,2
Office Supplies,San Diego,Cynthia Delaney,Other,2013-02-02,CA-2011-139857,92037,Staples,West,Home Office,2013-02-06,Standard Class,California,Fasteners,0.00,6.00,0.47,5,12.00,2013,2
Office Supplies,Saint Petersburg,Eric Barreto,Other,2013-02-02,CA-2011-123400,33710,Surelock Post Binders,South,Consumer,2013-02-09,Standard Class,Florida,Binders,0.70,-12.00,-0.67,2,18.00,2013,2
Technology,Saint Petersburg,Eric Barreto,AT&T,2013-02-02,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,2013-02-09,Standard Class,Florida,Phones,0.20,14.00,0.08,5,181.00,2013,2
Office Supplies,Seattle,Tom Boeckenhauer,Ibico,2013-02-03,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,2013-02-06,Second Class,Washington,Binders,0.20,27.00,0.33,2,84.00,2013,2
Office Supplies,Seattle,Tom Boeckenhauer,Avery,2013-02-03,CA-2011-111059,98105,Avery Durable Poly Binders,West,Consumer,2013-02-06,Second Class,Washington,Binders,0.20,4.00,0.33,3,13.00,2013,2
Office Supplies,San Diego,Deborah Brumfield,GBC,2013-02-04,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,2013-02-08,Standard Class,California,Binders,0.20,29.00,0.35,3,83.00,2013,2
Office Supplies,San Diego,Deborah Brumfield,Message Book,2013-02-04,CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,2013-02-08,Standard Class,California,Paper,0.00,16.00,0.47,4,34.00,2013,2
Office Supplies,Escondido,Mark Haberlin,GBC,2013-02-04,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,2013-02-08,Second Class,California,Binders,0.20,6.00,0.35,2,17.00,2013,2
Office Supplies,Chesapeake,Neil Ducich,Avery,2013-02-06,CA-2011-131905,23320,Avery 480,South,Corporate,2013-02-09,First Class,Virginia,Labels,0.00,7.00,0.48,4,15.00,2013,2
Technology,Chesapeake,Neil Ducich,Other,2013-02-06,CA-2011-131905,23320,Aastra 57i VoIP phone,South,Corporate,2013-02-09,First Class,Virginia,Phones,0.00,42.00,0.26,1,162.00,2013,2
Technology,Chesapeake,Neil Ducich,AT&T,2013-02-06,CA-2011-131905,23320,AT&T CL82213,South,Corporate,2013-02-09,First Class,Virginia,Phones,0.00,42.00,0.29,5,145.00,2013,2
Office Supplies,Romeoville,Delfina Latchford,Avery,2013-02-06,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,2013-02-10,Second Class,Illinois,Binders,0.80,-15.00,-1.65,2,9.00,2013,2
Technology,Linden,Cyma Kinney,Maxell,2013-02-07,CA-2011-107755,7036,Maxell DVD-RAM Discs,East,Corporate,2013-02-12,Standard Class,New Jersey,Accessories,0.00,50.00,0.43,7,115.00,2013,2
Office Supplies,New York City,Chris Selesnick,Acco,2013-02-07,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,2013-02-10,Second Class,New York,Storage,0.00,10.00,0.15,4,65.00,2013,2
Furniture,North Las Vegas,Nathan Mautz,Master Caster,2013-02-08,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,2013-02-09,First Class,Nevada,Furnishings,0.00,6.00,0.38,2,15.00,2013,2
Technology,Chesapeake,Natalie Fritzler,Enermax,2013-02-11,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,South,Consumer,2013-02-15,Standard Class,Virginia,Accessories,0.00,103.00,0.44,3,234.00,2013,2
Furniture,Chesapeake,Natalie Fritzler,Hon,2013-02-11,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,2013-02-15,Standard Class,Virginia,Tables,0.00,75.00,0.06,6,1256.00,2013,2
Office Supplies,Chesapeake,Natalie Fritzler,Wilson Jones,2013-02-11,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,2013-02-15,Standard Class,Virginia,Binders,0.00,8.00,0.47,2,17.00,2013,2
Furniture,Columbia,Guy Armstrong,Global,2013-02-11,CA-2011-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2013-02-15,Second Class,Missouri,Chairs,0.00,15.00,0.25,1,61.00,2013,2
Office Supplies,Columbia,Guy Armstrong,Avery,2013-02-11,CA-2011-168368,65203,Avery 483,Central,Consumer,2013-02-15,Second Class,Missouri,Labels,0.00,7.00,0.46,3,15.00,2013,2
Office Supplies,Columbia,Guy Armstrong,Wilson Jones,2013-02-11,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,2013-02-15,Second Class,Missouri,Binders,0.00,4.00,0.46,2,10.00,2013,2
Furniture,Columbia,Guy Armstrong,Other,2013-02-11,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,2013-02-15,Second Class,Missouri,Furnishings,0.00,53.00,0.16,3,333.00,2013,2
Office Supplies,Columbia,Guy Armstrong,Other,2013-02-11,CA-2011-168368,65203,VariCap6 Expandable Binder,Central,Consumer,2013-02-15,Second Class,Missouri,Binders,0.00,24.00,0.47,3,52.00,2013,2
Office Supplies,Columbia,Guy Armstrong,Fellowes,2013-02-11,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumer,2013-02-15,Second Class,Missouri,Storage,0.00,3.00,0.04,2,65.00,2013,2
Furniture,Concord,Sanjit Chand,Global,2013-02-12,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,2013-02-18,Standard Class,California,Chairs,0.20,-24.00,-0.19,2,130.00,2013,2
Office Supplies,Houston,Shui Tom,Other,2013-02-14,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,2013-02-19,Second Class,Texas,Paper,0.20,6.00,0.38,3,16.00,2013,2
Technology,Seattle,Marina Lichtenstein,Logitech,2013-02-14,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,West,Corporate,2013-02-18,Standard Class,Washington,Accessories,0.00,86.00,0.36,3,240.00,2013,2
Office Supplies,Seattle,Marina Lichtenstein,Belkin,2013-02-14,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,2013-02-18,Standard Class,Washington,Appliances,0.00,23.00,0.28,2,82.00,2013,2
Office Supplies,Seattle,Marina Lichtenstein,Other,2013-02-14,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,West,Corporate,2013-02-18,Standard Class,Washington,Supplies,0.00,5.00,0.02,2,239.00,2013,2
Office Supplies,Seattle,Barry Französisch,Pressboard,2013-02-15,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,2013-02-19,Standard Class,Washington,Binders,0.20,7.00,0.34,5,21.00,2013,2
Office Supplies,Dallas,Michael Nguyen,Wilson Jones,2013-02-16,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,2013-02-21,Standard Class,Texas,Binders,0.80,-2.00,-1.60,3,1.00,2013,2
Office Supplies,Dallas,Michael Nguyen,Holmes,2013-02-16,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,2013-02-21,Standard Class,Texas,Appliances,0.80,-14.00,-1.75,2,8.00,2013,2
Office Supplies,Chicago,Delfina Latchford,Staples in misc. colors,2013-02-17,CA-2011-154165,60653,Staples in misc. colors,Central,Consumer,2013-02-24,Standard Class,Illinois,Art,0.20,9.00,0.16,14,54.00,2013,2
Furniture,Lubbock,Troy Blackwell,DAX,2013-02-18,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,2013-02-18,Same Day,Texas,Furnishings,0.60,-11.00,-0.45,5,25.00,2013,2
Office Supplies,Arlington,Aaron Bergman,Akro,2013-02-18,CA-2011-152905,76017,Akro Stacking Bins,Central,Consumer,2013-02-24,Standard Class,Texas,Storage,0.20,-3.00,-0.20,2,13.00,2013,2
Technology,Richmond,Linda Cazamias,Enermax,2013-02-20,CA-2011-109491,47374,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,Corporate,2013-02-26,Standard Class,Indiana,Accessories,0.00,22.00,0.36,3,62.00,2013,2
